,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
0,춘하추동밀면,분식,051-8098659,부산광역시 부산진구 부전동 404-3,부산광역시 부산진구 서면문화로 48-1 (부전동),387215.973719276,186634.075918345,영업/정상,,부산진구,부전동,부전동 춘하추동밀면,부전동 춘하추동밀면 051-8098659
1,순곱이네(전포점),기타,051-808-8894,부산광역시 부산진구 전포동 193-11번지,부산광역시 부산진구 서전로57번길 47 (전포동),388172.338296332,186486.590882687,영업/정상,,부산진구,전포동,전포동 순곱이네(전포점),전포동 순곱이네(전포점) 051-808-8894
2,토킹토스트,한식,051-8912717,부산광역시 부산진구 가야동 666-32,"부산광역시 부산진구 엄광로 94-1, 1층 (가야동)",384591.248617089,185120.907357923,영업/정상,https://pcmap.place.naver.com/restaurant/1457318403/review/visitor#,부산진구,가야동,가야동 토킹토스트,가야동 토킹토스트 051-8912717
3,만리춘,중국식,051-802-2296,부산광역시 부산진구 전포동 31-6번지,부산광역시 부산진구 동성로112번길 77 (전포동),388306.616708217,186865.517975461,영업/정상,,부산진구,전포동,전포동 만리춘,전포동 만리춘 051-802-2296
4,할매충무김밥,분식,051-8057061,부산광역시 부산진구 부전동 233-3번지,부산광역시 부산진구 서면로 30 (부전동),387466.806554077,185737.441184457,영업/정상,,부산진구,부전동,부전동 할매충무김밥,부전동 할매충무김밥 051-8057061
5,늘해랑,중국식,051-863-6997,부산광역시 부산진구 양정동 350-1번지,부산광역시 부산진구 중앙대로928번길 12 (양정동),388662.155252477,187861.726078196,영업/정상,,부산진구,양정동,양정동 늘해랑,양정동 늘해랑 051-863-6997
6,은화수식당범일점,한식,051-6331988,부산광역시 부산진구 범천동 844-65번지 지상1층,"부산광역시 부산진구 골드테마길 66, 지상1층 (범천동)",387676.118972071,184772.246707586,영업/정상,,부산진구,범천동,범천동 은화수식당범일점,범천동 은화수식당범일점 051-6331988
7,복동이네오지상,호프/통닭,051-4646266,부산광역시 부산진구 전포동 198-31,"부산광역시 부산진구 서전로67번길 30, 1층 (전포동)",388293.734723321,186394.495614998,영업/정상,https://pcmap.place.naver.com/restaurant/1169440234/review/visitor#,부산진구,전포동,전포동 복동이네오지상,전포동 복동이네오지상 051-4646266
8,명성기사식당,한식,051-8677348,부산광역시 부산진구 양정동 276-5,부산광역시 부산진구 중앙대로969번길 45 (양정동),388623.107955438,188383.367621976,영업/정상,https://pcmap.place.naver.com/restaurant/1103107312/review/visitor#,부산진구,양정동,양정동 명성기사식당,양정동 명성기사식당 051-8677348
9,가빈,한식,051-8027427,부산광역시 부산진구 초읍동 336-1번지,부산광역시 부산진구 성지곡로 43 (초읍동),386498.726134499,189365.377257704,영업/정상,,부산진구,초읍동,초읍동 가빈,초읍동 가빈 051-8027427
10,불로만숯불바베큐,한식,051-8688292,부산광역시 부산진구 양정동 93-8번지 (1층),"부산광역시 부산진구 연수로 22 (양정동,(1층))",388839.099574606,188017.928908566,영업/정상,,부산진구,양정동,양정동 불로만숯불바베큐,양정동 불로만숯불바베큐 051-8688292
11,고성횟집,횟집,051-805-8337,부산광역시 부산진구 부암동 346-9,"부산광역시 부산진구 백양순환로164번길 5, 1층 (부암동)",385908.154463393,187149.991976699,영업/정상,https://pcmap.place.naver.com/restaurant/1934335706/review/visitor#,부산진구,부암동,부암동 고성횟집,부암동 고성횟집 051-805-8337
12,로또분식식당,한식,051-8075077,부산광역시 부산진구 전포동 588-6,부산광역시 부산진구 동성로 130 (전포동),388070.313685213,186596.285101665,영업/정상,,부산진구,전포동,전포동 로또분식식당,전포동 로또분식식당 051-8075077
13,김밥촌,한식,051-8054432,부산광역시 부산진구 당감동 984번지,부산광역시 부산진구 가야대로703번길 6 (당감동),386599.076468986,186168.038794384,영업/정상,https://pcmap.place.naver.com/restaurant/1778133258/review/visitor#,부산진구,당감동,당감동 김밥촌,당감동 김밥촌 051-8054432
