사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
유가네닭갈비개금점(1F),기타,051-891-3311,부산광역시 부산진구 가야동 632-5번지 (1층),"부산광역시 부산진구 가야대로498번길 28-3, 1층 (가야동)",384584.007570699,185487.929276445,영업/정상,,부산진구,가야동,가야동 유가네닭갈비개금점(1F),가야동 유가네닭갈비개금점(1F) 051-891-3311
부흥,기타,,부산광역시 부산진구 부전동 168-24 지상1층,"부산광역시 부산진구 서전로10번길 13, 지상1층 (부전동)",387692.080955212,186146.055615206,영업/정상,,부산진구,부전동,부전동 부흥,부전동 부흥 
처마집,기타,,부산광역시 부산진구 부전동 168-45 1층,"부산광역시 부산진구 동천로85번길 40, 1층 (부전동)",387671.721133534,186123.027657542,영업/정상,,부산진구,부전동,부전동 처마집,부전동 처마집 
승승(초읍점),한식,051-816-4491,부산광역시 부산진구 초읍동 269-14번지 지상1층일부,"부산광역시 부산진구 새싹로 202 (초읍동, 지상1층일부)",386612.32801207,188034.194575258,영업/정상,,부산진구,초읍동,초읍동 승승(초읍점),초읍동 승승(초읍점) 051-816-4491
소나무집,한식,051-809-6650,부산광역시 부산진구 초읍동 463번지 지상1층일부),"부산광역시 부산진구 월드컵대로 465 (초읍동, 지상1층일부)",386685.17613155,188925.522404928,영업/정상,,부산진구,초읍동,초읍동 소나무집,초읍동 소나무집 051-809-6650
유정이네,한식,051-898-4152,부산광역시 부산진구 개금동 53-3번지 복합상가8호(지하1층),"부산광역시 부산진구 백양관문로 3 (개금동, 복합상가8호(지하1층))",385002.870304631,186361.24583842,영업/정상,,부산진구,개금동,개금동 유정이네,개금동 유정이네 051-898-4152
황금알,한식,051-898-1972,부산광역시 부산진구 가야동 454-70,"부산광역시 부산진구 대학로 72, 지하1층 (가야동)",385317.151075659,185257.340061736,영업/정상,,부산진구,가야동,가야동 황금알,가야동 황금알 051-898-1972
우럭만공격,횟집,051-816-8070,부산광역시 부산진구 당감동 335-2번지 지상1층일부,"부산광역시 부산진구 당감서로 57 (당감동, 지상1층일부)",385479.37205478,187051.820853885,영업/정상,,부산진구,당감동,당감동 우럭만공격,당감동 우럭만공격 051-816-8070
남도(죽)팥칼국수2,한식,051-891-1588,부산광역시 부산진구 개금동 184-39번지,"부산광역시 부산진구 가야대로 488-9, 2층 (개금동)",384508.142355684,185590.565025456,영업/정상,,부산진구,개금동,개금동 남도(죽)팥칼국수2,개금동 남도(죽)팥칼국수2 051-891-1588
통큰닭강정(양정점),통닭(치킨),051-815-9978,부산광역시 부산진구 양정동 502-26번지 지상1층일부,"부산광역시 부산진구 동평로 372 (양정동, 지상1층일부)",388132.284859253,188102.172342967,영업/정상,,부산진구,양정동,양정동 통큰닭강정(양정점),양정동 통큰닭강정(양정점) 051-815-9978
서면카오산,기타,,부산광역시 부산진구 부전동 168-55,"부산광역시 부산진구 동천로85번길 34, 3층 (부전동)",387693.925703485,186112.995714839,영업/정상,,부산진구,부전동,부전동 서면카오산,부전동 서면카오산 
