사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
바다양푼이동태탕(부산시청직영점),한식,,부산광역시 부산진구 양정동 260-7,"부산광역시 부산진구 동평로405번길 91, 1,2층 (양정동)",388679.397992531,188438.850358453,영업/정상,,부산진구,양정동,양정동 바다양푼이동태탕(부산시청직영점),양정동 바다양푼이동태탕(부산시청직영점) 
뿌빠엄마집,한식,,부산광역시 부산진구 부전동 522-49,"부산광역시 부산진구 서면로 29, 2층 (부전동)",387417.686483093,185733.216997078,영업/정상,,부산진구,부전동,부전동 뿌빠엄마집,부전동 뿌빠엄마집 
파스쿠찌 부산비즈니스호텔,기타,051-817-8497,부산광역시 부산진구 부전동 512-4,"부산광역시 부산진구 부전로 67, 1,2층 (부전동)",387138.186862821,186037.533271738,영업/정상,,부산진구,부전동,부전동 파스쿠찌 부산비즈니스호텔,부전동 파스쿠찌 부산비즈니스호텔 051-817-8497
만선타운1,호프/통닭,,부산광역시 부산진구 부전동 241-32,"부산광역시 부산진구 신천대로62번길 72, 1층 (부전동)",387506.573496628,185805.07888649,영업/정상,,부산진구,부전동,부전동 만선타운1,부전동 만선타운1 
마선생얼큰국밥 부산서면점,한식,,부산광역시 부산진구 부전동 255-15,"부산광역시 부산진구 서면로68번길 29, 1층 (부전동)",387504.894952201,185997.289202283,영업/정상,,부산진구,부전동,부전동 마선생얼큰국밥 부산서면점,부전동 마선생얼큰국밥 부산서면점 
동포전,한식,,부산광역시 부산진구 전포동 674-3,"부산광역시 부산진구 서전로 44, 1층 (전포동)",388047.822277369,186218.853885765,영업/정상,,부산진구,전포동,전포동 동포전,전포동 동포전 
빈스킹토스트 시민공원점,분식,,부산광역시 부산진구 범전동 450 삼한골든뷰 센트럴파크,"부산광역시 부산진구 중앙대로 821, 201동 지하2층 B221호 (범전동, 삼한골든뷰 센트럴파크)",387939.473018603,187062.522735753,영업/정상,,부산진구,범전동,범전동 빈스킹토스트 시민공원점,범전동 빈스킹토스트 시민공원점 
수제맥주집 부암점,호프/통닭,,부산광역시 부산진구 부암동 304-3,"부산광역시 부산진구 동평로 193, 3층 (부암동)",386651.632777131,187328.149327121,영업/정상,,부산진구,부암동,부암동 수제맥주집 부암점,부암동 수제맥주집 부암점 
어랏투고 영광도서점,기타,,부산광역시 부산진구 부전동 475-2,"부산광역시 부산진구 서면문화로 9, 1층 (부전동)",387401.390672732,186303.441614181,영업/정상,,부산진구,부전동,부전동 어랏투고 영광도서점,부전동 어랏투고 영광도서점 
전포세탁,한식,051-803-0448,부산광역시 부산진구 전포동 334-49,"부산광역시 부산진구 동성로49번길 20, 1층 (전포동)",388306.067015512,185946.423156458,영업/정상,,부산진구,전포동,전포동 전포세탁,전포동 전포세탁 051-803-0448
대구식당,한식,,부산광역시 부산진구 개금동 135-8,"부산광역시 부산진구 가야대로507번가길 4, 1층 (개금동)",384717.166915484,185780.756814441,영업/정상,,부산진구,개금동,개금동 대구식당,개금동 대구식당 
비에이치씨bhc 부산부전점,호프/통닭,051-818-1515,부산광역시 부산진구 부전동 505-6 한솔폴라리스,"부산광역시 부산진구 가야대로 754, 1층 106호 (부전동, 한솔폴라리스)",387076.983236541,186148.629195175,영업/정상,,부산진구,부전동,부전동 비에이치씨bhc 부산부전점,부전동 비에이치씨bhc 부산부전점 051-818-1515
언양닭칼국수(서면부전점),한식,,부산광역시 부산진구 부전동 397-15,"부산광역시 부산진구 새싹로 15-1, 1층 (부전동)",387407.076758977,186388.270691681,영업/정상,,부산진구,부전동,부전동 언양닭칼국수(서면부전점),부전동 언양닭칼국수(서면부전점) 
통영한일김밥부산본점,분식,,부산광역시 부산진구 부전동 517-17,"부산광역시 부산진구 서면로 51, 1층 (부전동)",387416.351958359,185965.602466712,영업/정상,,부산진구,부전동,부전동 통영한일김밥부산본점,부전동 통영한일김밥부산본점 
국대불총,한식,,부산광역시 부산진구 개금동 834,"부산광역시 부산진구 냉정로178번길 9, 1층 (개금동)",383963.538124931,185230.961615334,영업/정상,,부산진구,개금동,개금동 국대불총,개금동 국대불총 
상상피자 서면본점,기타,,부산광역시 부산진구 부전동 394-34,"부산광역시 부산진구 부전로140번길 8, 1층 101호 (부전동)",387338.543319377,186622.372700772,영업/정상,,부산진구,부전동,부전동 상상피자 서면본점,부전동 상상피자 서면본점 
파스타앤샐러드,경양식,,부산광역시 부산진구 개금동 501-3,"부산광역시 부산진구 복지로8번길 18, 2층 14호 (개금동)",383940.229489297,185507.025656272,영업/정상,,부산진구,개금동,개금동 파스타앤샐러드,개금동 파스타앤샐러드 
미미타코,한식,,부산광역시 부산진구 부전동 256-6,"부산광역시 부산진구 서면로 56, 1층 아19,타21호 (부전동)",387468.48013598,185990.346086723,영업/정상,,부산진구,부전동,부전동 미미타코,부전동 미미타코 
킥애스 서면점,기타,,부산광역시 부산진구 부전동 535-19,"부산광역시 부산진구 중앙대로 655-1, 1층 (부전동)",387552.513116737,185509.247742104,영업/정상,,부산진구,부전동,부전동 킥애스 서면점,부전동 킥애스 서면점 
푯,한식,,부산광역시 부산진구 전포동 312-1,"부산광역시 부산진구 전포대로210번길 8, 1층 (전포동)",388184.550482427,185970.657957448,영업/정상,,부산진구,전포동,전포동 푯,전포동 푯 
오굳띵,기타,,부산광역시 부산진구 전포동 201-3,"부산광역시 부산진구 전포대로246번길 14, 1층 (전포동)",388208.096400917,186321.439341034,영업/정상,,부산진구,전포동,전포동 오굳띵,전포동 오굳띵 
라이트,기타,,부산광역시 부산진구 가야동 635-2,"부산광역시 부산진구 냉정로253번길 7, 1층 (가야동)",384698.942161876,185451.482881241,영업/정상,,부산진구,가야동,가야동 라이트,가야동 라이트 
찌웅이네숯불두마리치킨(진구1호점),호프/통닭,,부산광역시 부산진구 초읍동 205-11,"부산광역시 부산진구 성지로137번길 62, 1층 (초읍동)",386808.738653873,188628.877399384,영업/정상,,부산진구,초읍동,초읍동 찌웅이네숯불두마리치킨(진구1호점),초읍동 찌웅이네숯불두마리치킨(진구1호점) 
승승삼겹 범천점,식육(숯불구이),,부산광역시 부산진구 범천동 1187 e편한세상 서면 더센트럴,"부산광역시 부산진구 신암로 133, 상가 401동 6호 (범천동, e편한세상 서면 더센트럴)",386691.13201286,185556.097572644,영업/정상,,부산진구,범천동,범천동 승승삼겹 범천점,범천동 승승삼겹 범천점 
노브레이크,한식,,부산광역시 부산진구 양정동 362-2,"부산광역시 부산진구 양지로5번길 12, 1층 (양정동)",388516.394069723,187617.652331728,영업/정상,,부산진구,양정동,양정동 노브레이크,양정동 노브레이크 
그린테이블,기타,,부산광역시 부산진구 당감동 253-4,"부산광역시 부산진구 당감로 11, 1층 (당감동)",385767.294077513,186737.618237404,영업/정상,,부산진구,당감동,당감동 그린테이블,당감동 그린테이블 
주심,한식,,부산광역시 부산진구 전포동 202-10,"부산광역시 부산진구 서전로57번길 6, 1층 (전포동)",388205.308487282,186274.154527519,영업/정상,,부산진구,전포동,전포동 주심,전포동 주심 
물레방아,한식,,부산광역시 부산진구 전포동 307-26,"부산광역시 부산진구 서전로58번길 37-10, 1층 (전포동)",388244.160259762,186047.936808622,영업/정상,,부산진구,전포동,전포동 물레방아,전포동 물레방아 
치킨신드롬 개금점,호프/통닭,,부산광역시 부산진구 가야동 186 가야롯데캐슬골드아너,"부산광역시 부산진구 가야대로 538, 상가1동 102호 (가야동, 가야롯데캐슬골드아너)",384998.156253505,185638.712482347,영업/정상,,부산진구,가야동,가야동 치킨신드롬 개금점,가야동 치킨신드롬 개금점 
이오공돌짜장,중국식,,부산광역시 부산진구 전포동 591-8,"부산광역시 부산진구 동성로 136, 2층 201호 (전포동)",388037.947378996,186602.739832314,영업/정상,,부산진구,전포동,전포동 이오공돌짜장,전포동 이오공돌짜장 
리본(Reborn),기타,,부산광역시 부산진구 부전동 400-9,"부산광역시 부산진구 새싹로29번길 15, 2층 (부전동)",387275.719369835,186480.854096867,영업/정상,,부산진구,부전동,부전동 리본(Reborn),부전동 리본(Reborn) 
아구듬뿍알곤마니 가야개금점,한식,,부산광역시 부산진구 가야동 300-25,"부산광역시 부산진구 가야대로572번길 11, 1층 (가야동)",385333.774004673,185732.602152583,영업/정상,,부산진구,가야동,가야동 아구듬뿍알곤마니 가야개금점,가야동 아구듬뿍알곤마니 가야개금점 
사리원,한식,051-808-8174,부산광역시 부산진구 부전동 486-25,"부산광역시 부산진구 서면문화로5번길 15, 1층 (부전동)",387340.05997408,186270.005233968,영업/정상,,부산진구,부전동,부전동 사리원,부전동 사리원 051-808-8174
Halo(헤일로),기타,,부산광역시 부산진구 전포동 359-25,"부산광역시 부산진구 서전로68번길 129, 2층 (전포동)",388313.41755794,185603.61816135,영업/정상,,부산진구,전포동,전포동 Halo(헤일로),전포동 Halo(헤일로) 
세아 작업실,기타,,부산광역시 부산진구 개금동 501-3,"부산광역시 부산진구 복지로8번길 18, 2층 19호 (개금동)",383940.229489297,185507.025656272,영업/정상,,부산진구,개금동,개금동 세아 작업실,개금동 세아 작업실 
포레스타(Foresta),경양식,,부산광역시 부산진구 전포동 239-4,"부산광역시 부산진구 동성로 59, 1층 (전포동)",388384.539690836,186022.900711972,영업/정상,,부산진구,전포동,전포동 포레스타(Foresta),전포동 포레스타(Foresta) 
무채 로스터리,기타,,부산광역시 부산진구 전포동 359-28,"부산광역시 부산진구 서전로68번길 131, 2층 (전포동)",388319.581087207,185590.127291604,영업/정상,,부산진구,전포동,전포동 무채 로스터리,전포동 무채 로스터리 
가마솥골목통닭,호프/통닭,,부산광역시 부산진구 당감동 409-11,"부산광역시 부산진구 동평로76번길 3, 1층 (당감동)",385601.879283499,186992.854787346,영업/정상,,부산진구,당감동,당감동 가마솥골목통닭,당감동 가마솥골목통닭 
초량댁,한식,,부산광역시 부산진구 부전동 508-23 J-빌,"부산광역시 부산진구 가야대로746번길 9, 1층 (부전동, J-빌)",387026.821920027,186140.902676923,영업/정상,,부산진구,부전동,부전동 초량댁,부전동 초량댁 
섭(srf),경양식,,부산광역시 부산진구 전포동 341-23,"부산광역시 부산진구 동성로39번길 18, 2층 (전포동)",388318.650635608,185838.263383089,영업/정상,,부산진구,전포동,전포동 섭(srf),전포동 섭(srf) 
초연,한식,,부산광역시 부산진구 전포동 204-19,"부산광역시 부산진구 서전로67번길 6, 1층 (전포동)",388300.900879122,186278.215494634,영업/정상,,부산진구,전포동,전포동 초연,전포동 초연 
리액트(react),기타,,부산광역시 부산진구 전포동 643 토포필리아,"부산광역시 부산진구 서전로47번길 47, 토포필리아 103호 (전포동)",388048.772038053,186478.176819819,영업/정상,,부산진구,전포동,전포동 리액트(react),전포동 리액트(react) 
디에스푸드,기타,,부산광역시 부산진구 가야동 437-41,"부산광역시 부산진구 대학로 52, 1층 (가야동)",385371.783037455,185453.48838329,영업/정상,,부산진구,가야동,가야동 디에스푸드,가야동 디에스푸드 
빽보이피자 부산부전역점,기타,,부산광역시 부산진구 범전동 450 삼한골든뷰 센트럴파크,"부산광역시 부산진구 중앙대로 821, 201동 지하1층 B105호 (범전동, 삼한골든뷰 센트럴파크)",387939.473018603,187062.522735753,영업/정상,,부산진구,범전동,범전동 빽보이피자 부산부전역점,범전동 빽보이피자 부산부전역점 
파스타 흔,경양식,,부산광역시 부산진구 전포동 671-12,"부산광역시 부산진구 전포대로223번길 10, 2층 (전포동)",388055.928824455,186110.426562633,영업/정상,,부산진구,전포동,전포동 파스타 흔,전포동 파스타 흔 
집우푸드(집우김밥),분식,,부산광역시 부산진구 범천동 864-1 다인로얄팰리스,"부산광역시 부산진구 신천대로65번길 9, 1동 1층 104호 다인로얄팰리스 (범천동)",387494.608481822,185341.194553546,영업/정상,,부산진구,범천동,범천동 집우푸드(집우김밥),범천동 집우푸드(집우김밥) 
카페 드 에떼,기타,,부산광역시 부산진구 전포동 307-14,"부산광역시 부산진구 전포대로216번길 13, 2층 (전포동)",388213.410864544,186034.233540367,영업/정상,,부산진구,전포동,전포동 카페 드 에떼,전포동 카페 드 에떼 
펙(peck),기타,,부산광역시 부산진구 전포동 201-21,"부산광역시 부산진구 동성로87번길 30, 2층 (전포동)",388225.311831695,186302.573205767,영업/정상,,부산진구,전포동,전포동 펙(peck),전포동 펙(peck) 
디케이홀덤펍,기타,,부산광역시 부산진구 양정동 116-19,"부산광역시 부산진구 연수로 56-1, 삼빌딩 5층 501호 (양정동)",389158.305779679,188179.281473933,영업/정상,,부산진구,양정동,양정동 디케이홀덤펍,양정동 디케이홀덤펍 
굿데이만두(부전점),한식,051-522-1238,부산광역시 부산진구 부전동 53,"부산광역시 부산진구 중앙대로783번길 14, 2층 (부전동)",387835.925160286,186795.116897803,영업/정상,,부산진구,부전동,부전동 굿데이만두(부전점),부전동 굿데이만두(부전점) 051-522-1238
블루샥 부전역점,기타,,부산광역시 부산진구 부전동 18 삼정 그린코아 더 시티,"부산광역시 부산진구 중앙대로 797, 삼정 그린코아 더 시티 1층 101호 (부전동)",387894.925599061,186833.649301772,영업/정상,,부산진구,부전동,부전동 블루샥 부전역점,부전동 블루샥 부전역점 
동방축산 초읍점,식육(숯불구이),,부산광역시 부산진구 초읍동 291-19,"부산광역시 부산진구 새싹로 286, 1층 (초읍동)",386421.266438365,188859.99086626,영업/정상,,부산진구,초읍동,초읍동 동방축산 초읍점,초읍동 동방축산 초읍점 
대패한상,한식,,부산광역시 부산진구 양정동 7-15,"부산광역시 부산진구 연수로 70, 1층 (양정동)",389282.634440528,188215.647548538,영업/정상,,부산진구,양정동,양정동 대패한상,양정동 대패한상 
일일이,기타,,부산광역시 부산진구 전포동 379-12,"부산광역시 부산진구 황령대로74번길 27, 4층 (전포동)",388345.986807373,185222.00975018,영업/정상,,부산진구,전포동,전포동 일일이,전포동 일일이 
설맥 부산연지점,호프/통닭,,부산광역시 부산진구 초읍동 269-44,"부산광역시 부산진구 성지로153번길 168, 1층 (초읍동)",386653.266770855,188073.999905915,영업/정상,,부산진구,초읍동,초읍동 설맥 부산연지점,초읍동 설맥 부산연지점 
전주식당,한식,,부산광역시 부산진구 전포동 192-13,"부산광역시 부산진구 동성로 113-1, 1층 (전포동)",388209.451240478,186477.339862909,영업/정상,,부산진구,전포동,전포동 전주식당,전포동 전주식당 
투다리 개금점,기타,,부산광역시 부산진구 가야동 655-3,"부산광역시 부산진구 냉정로 237, 1층 (가야동)",384530.250613634,185427.312427991,영업/정상,,부산진구,가야동,가야동 투다리 개금점,가야동 투다리 개금점 
보선각2,중국식,,부산광역시 부산진구 부전동 394-16 경동파크타워,"부산광역시 부산진구 새싹로 30, 1층 112호 (부전동, 경동파크타워)",387381.306373128,186540.205085093,영업/정상,,부산진구,부전동,부전동 보선각2,부전동 보선각2 
플로레스타,기타,,부산광역시 부산진구 전포동 341-23,"부산광역시 부산진구 동성로39번길 18, 1층 (전포동)",388318.650635608,185838.263383089,영업/정상,,부산진구,전포동,전포동 플로레스타,전포동 플로레스타 
코쿠씨(kokku.c),기타,,부산광역시 부산진구 전포동 671-12,"부산광역시 부산진구 전포대로223번길 10, 1층 (전포동)",388055.928824455,186110.426562633,영업/정상,,부산진구,전포동,전포동 코쿠씨(kokku.c),전포동 코쿠씨(kokku.c) 
치보,기타,,부산광역시 부산진구 전포동 196-6,"부산광역시 부산진구 서전로67번길 27-4, 1층 (전포동)",388265.133337224,186390.737192041,영업/정상,,부산진구,전포동,전포동 치보,전포동 치보 
페이퍼가든,경양식,,부산광역시 부산진구 전포동 312-1,"부산광역시 부산진구 전포대로210번길 8, 2층 (전포동)",388184.550482427,185970.657957448,영업/정상,,부산진구,전포동,전포동 페이퍼가든,전포동 페이퍼가든 
제이엠티카페 서면로점,기타,,부산광역시 부산진구 부전동 517-17,"부산광역시 부산진구 서면로 51, 1층 (부전동)",387416.351958359,185965.602466712,영업/정상,,부산진구,부전동,부전동 제이엠티카페 서면로점,부전동 제이엠티카페 서면로점 
수프올샐러드,경양식,,부산광역시 부산진구 전포동 343-2 드림구조,"부산광역시 부산진구 동성로39번길 7, 1층 (전포동)",388371.582499063,185825.069675225,영업/정상,,부산진구,전포동,전포동 수프올샐러드,전포동 수프올샐러드 
후타츠 부산점,한식,,부산광역시 부산진구 전포동 671-12,"부산광역시 부산진구 전포대로223번길 10, 1층 (전포동)",388055.928824455,186110.426562633,영업/정상,,부산진구,전포동,전포동 후타츠 부산점,전포동 후타츠 부산점 
가야블루스,기타,,부산광역시 부산진구 가야동 588 가야반도보라빌,"부산광역시 부산진구 가야공원로 41, 상가2동 B102호 (가야동, 가야반도보라빌)",385036.984735411,185337.787983836,영업/정상,,부산진구,가야동,가야동 가야블루스,가야동 가야블루스 
빗센,기타,,부산광역시 부산진구 전포동 308-18,"부산광역시 부산진구 전포대로210번길 23, 1층 (전포동)",388267.756749773,185993.87367614,영업/정상,,부산진구,전포동,전포동 빗센,전포동 빗센 
나는홍게다,한식,,부산광역시 부산진구 당감동 436-5,"부산광역시 부산진구 당감로25번길 33, 1층 (당감동)",385596.674708692,186914.804272032,영업/정상,,부산진구,당감동,당감동 나는홍게다,당감동 나는홍게다 
사계식,기타,,부산광역시 부산진구 전포동 313-81,"부산광역시 부산진구 전포대로210번길 20, 2층 (전포동)",388245.906193303,185973.735627114,영업/정상,,부산진구,전포동,전포동 사계식,전포동 사계식 
통통회,횟집,,부산광역시 부산진구 연지동 31-3 연지래미안빌딩,"부산광역시 부산진구 성지로 42, 연지래미안빌딩 4층 (연지동)",387152.535701674,188057.891867158,영업/정상,,부산진구,연지동,연지동 통통회,연지동 통통회 
요고양식,경양식,,부산광역시 부산진구 개금동 174-4,"부산광역시 부산진구 가야대로482번길 29-3, 1층 (개금동)",384448.682696188,185484.508972256,영업/정상,,부산진구,개금동,개금동 요고양식,개금동 요고양식 
육담도,한식,,부산광역시 부산진구 전포동 188-211,"부산광역시 부산진구 동성로 96, 지하1층 (전포동)",388375.485221325,186388.55937498,영업/정상,,부산진구,전포동,전포동 육담도,전포동 육담도 
언더우드(under wood),기타,,부산광역시 부산진구 전포동 192-8,"부산광역시 부산진구 전포대로256번길 15, 1층 (전포동)",388212.016573669,186433.648797776,영업/정상,,부산진구,전포동,전포동 언더우드(under wood),전포동 언더우드(under wood) 
버드나무집,한식,,부산광역시 부산진구 전포동 631-6,"부산광역시 부산진구 동천로132번길 23, 1층 (전포동)",387957.75317316,186552.35956875,영업/정상,,부산진구,전포동,전포동 버드나무집,전포동 버드나무집 
이춘봉인생치킨 연지점,호프/통닭,,부산광역시 부산진구 연지동 238-8,"부산광역시 부산진구 동평로235번길 41, 1층 (연지동)",386842.004776908,187770.262165078,영업/정상,,부산진구,연지동,연지동 이춘봉인생치킨 연지점,연지동 이춘봉인생치킨 연지점 
인터문샤인(intermoonshine),기타,,부산광역시 부산진구 전포동 334-42,"부산광역시 부산진구 서전로68번길 59-5, 2층 (전포동)",388319.147215905,185964.868313285,영업/정상,,부산진구,전포동,전포동 인터문샤인(intermoonshine),전포동 인터문샤인(intermoonshine) 
대구반야월막창 초읍점,식육(숯불구이),,부산광역시 부산진구 초읍동 288-37,"부산광역시 부산진구 새싹로 270, 1층 (초읍동)",386455.290466883,188686.037497288,영업/정상,,부산진구,초읍동,초읍동 대구반야월막창 초읍점,초읍동 대구반야월막창 초읍점 
뉴러우멘관즈 서면점,기타,,부산광역시 부산진구 부전동 227-2 삼정타워,"부산광역시 부산진구 중앙대로 672, 삼정타워 5층 502호 (부전동)",387608.014165034,185703.079007724,영업/정상,,부산진구,부전동,부전동 뉴러우멘관즈 서면점,부전동 뉴러우멘관즈 서면점 
진가와 부산본점,기타,,부산광역시 부산진구 부전동 503-15,"부산광역시 부산진구 가야대로 772, 9층 (부전동)",387271.299492377,186099.137533193,영업/정상,,부산진구,부전동,부전동 진가와 부산본점,부전동 진가와 부산본점 
삼냥제과,기타,,부산광역시 부산진구 개금동 53-3 개금주공상가,"부산광역시 부산진구 백양관문로 3, 개금주공상가 1층 115호 (개금동)",385002.870304631,186361.24583842,영업/정상,,부산진구,개금동,개금동 삼냥제과,개금동 삼냥제과 
피셋(Phises),"외국음식전문점(인도,태국등)",,부산광역시 부산진구 전포동 204-19,"부산광역시 부산진구 서전로67번길 6, 2층 (전포동)",388300.900879122,186278.215494634,영업/정상,,부산진구,전포동,전포동 피셋(Phises),전포동 피셋(Phises) 
오리랑,한식,,부산광역시 부산진구 개금동 545-5,"부산광역시 부산진구 냉정로 210-1, 1층 (개금동)",384271.951226452,185374.981439005,영업/정상,,부산진구,개금동,개금동 오리랑,개금동 오리랑 
(주)국제식품 초원농원 양정점,식육(숯불구이),,부산광역시 부산진구 양정동 321-2,"부산광역시 부산진구 거제대로 70, 3,4층, 5층일부층 (양정동)",388361.019913516,188140.258492077,영업/정상,,부산진구,양정동,양정동 (주)국제식품 초원농원 양정점,양정동 (주)국제식품 초원농원 양정점 
어풋홀드,경양식,,부산광역시 부산진구 전포동 207-54,"부산광역시 부산진구 전포대로224번길 7, 2층 (전포동)",388184.404721375,186112.537897076,영업/정상,,부산진구,전포동,전포동 어풋홀드,전포동 어풋홀드 
맛있는바다,한식,,부산광역시 부산진구 당감동 751-7,"부산광역시 부산진구 당감서로71번길 20, 1층 (당감동)",385447.874161232,187284.915241113,영업/정상,,부산진구,당감동,당감동 맛있는바다,당감동 맛있는바다 
정성카츠,경양식,,부산광역시 부산진구 전포동 687-12,"부산광역시 부산진구 서전로46번길 62-8, 1층 (전포동)",388045.237023935,185940.868977036,영업/정상,,부산진구,전포동,전포동 정성카츠,전포동 정성카츠 
