사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
랑(Rang),식육(숯불구이),,부산광역시 부산진구 부전동 168-18 지상1층,"부산광역시 부산진구 중앙대로680번가길 75, 지상1층 (부전동)",387722.796729865,186128.590187384,영업/정상,,부산진구,부전동,부전동 랑(Rang),부전동 랑(Rang) 
짬뽕지존서면롯데점,중국식,051-808-5161,부산광역시 부산진구 부전동 533-5번지 지상1층,"부산광역시 부산진구 서면로 9, 지상1층 (부전동)",387421.963535204,185546.086792075,영업/정상,,부산진구,부전동,부전동 짬뽕지존서면롯데점,부전동 짬뽕지존서면롯데점 051-808-5161
일품정가,한식,051-891-9136,부산광역시 부산진구 당감동 69-7번지,부산광역시 부산진구 가야대로703번길 25 (당감동),386563.107472475,186268.481451351,영업/정상,,부산진구,당감동,당감동 일품정가,당감동 일품정가 051-891-9136
원조희야네석쇠쭈꾸미본점,한식,051-804-8688,부산광역시 부산진구 부전동 515-39번지,부산광역시 부산진구 중앙대로691번가길 25-3 (부전동),387206.350325126,185953.966204839,영업/정상,,부산진구,부전동,부전동 원조희야네석쇠쭈꾸미본점,부전동 원조희야네석쇠쭈꾸미본점 051-804-8688
영일횟집,횟집,051-8170917,부산광역시 부산진구 초읍동 277-5 오티시이즈오피스텔 102호일부,"부산광역시 부산진구 새싹로 256 (초읍동, 오티시이즈오피스텔 102호일부)",386494.090661035,188559.621692112,영업/정상,,부산진구,초읍동,초읍동 영일횟집,초읍동 영일횟집 051-8170917
한씨국밥집,한식,,부산광역시 부산진구 부전동 272-1번지 번지(1층일부),"부산광역시 부산진구 새싹로8번길 69 (부전동,번지(1층일부))",387696.08948899,186608.587538626,영업/정상,,부산진구,부전동,부전동 한씨국밥집,부전동 한씨국밥집 
털보오리,한식,051-8920464,부산광역시 부산진구 당감동 340-4번지 번지(1층),"부산광역시 부산진구 동평로55번길 10-17 (당감동,번지(1층))",385428.085115094,187050.845148357,영업/정상,,부산진구,당감동,당감동 털보오리,당감동 털보오리 051-8920464
호포리,호프/통닭,,부산광역시 부산진구 부전동 156-41 지상1층,"부산광역시 부산진구 중앙대로 722-9, 지상1층 (부전동)",387657.879527176,186171.614964985,영업/정상,,부산진구,부전동,부전동 호포리,부전동 호포리 
마당집곱창,한식,051-892-2536,부산광역시 부산진구 가야동 24-17,"부산광역시 부산진구 가야대로 653, 1층 (가야동)",386112.615979981,186026.577104002,영업/정상,,부산진구,가야동,가야동 마당집곱창,가야동 마당집곱창 051-892-2536
마루양곱창,식육(숯불구이),8688967,부산광역시 부산진구 범천동 839-1번지 (1층),"부산광역시 부산진구 자유평화로37번길 25, 1층 (범천동)",387963.225015846,184536.155875568,영업/정상,,부산진구,범천동,범천동 마루양곱창,범천동 마루양곱창 8688967
산청 돼지국밥,한식,8975955,부산광역시 부산진구 개금동 627-1 개금 시영,"부산광역시 부산진구 진사로61번길 29, 제15동 지하1층 2호,3호 (개금동, 개금 시영)",383734.276148855,184897.302921948,영업/정상,,부산진구,개금동,개금동 산청 돼지국밥,개금동 산청 돼지국밥 8975955
장수유황오리,탕류(보신용),,부산광역시 부산진구 양정동 389-23번지,부산광역시 부산진구 중앙대로909번길 23 (양정동),388443.994310728,187856.542022973,영업/정상,,부산진구,양정동,양정동 장수유황오리,양정동 장수유황오리 
장수오리가 기가차서,기타,051-894-2808,부산광역시 부산진구 당감동 622-6번지,부산광역시 부산진구 동평로 32 (당감동),385171.255504935,186940.471986298,영업/정상,,부산진구,당감동,당감동 장수오리가 기가차서,당감동 장수오리가 기가차서 051-894-2808
마당쇠 소금구이,한식,051-8055022,부산광역시 부산진구 부전동 519-3,부산광역시 부산진구 가야대로784번길 50 (부전동),387381.130102799,185944.878426733,영업/정상,,부산진구,부전동,부전동 마당쇠 소금구이,부전동 마당쇠 소금구이 051-8055022
장수촌오리,한식,051-8045727,부산광역시 부산진구 초읍동 206-98번지,부산광역시 부산진구 성지로137번길 74 (초읍동),386864.788442241,188581.404865583,영업/정상,,부산진구,초읍동,초읍동 장수촌오리,초읍동 장수촌오리 051-8045727
초이참치,일식,051-808-8779,부산광역시 부산진구 부전동 515-35 지상1층,"부산광역시 부산진구 부전로 60, 지상1층 (부전동)",387185.518854874,185962.859378206,영업/정상,,부산진구,부전동,부전동 초이참치,부전동 초이참치 051-808-8779
길목식당,한식,051-8053301,"부산광역시 부산진구 전포동 657-20 ,21","부산광역시 부산진구 동천로132번길 12-5 (전포동,,21)",387909.698002628,186539.953931089,영업/정상,,부산진구,전포동,전포동 길목식당,전포동 길목식당 051-8053301
신성각,중국식,051-8513460,"부산광역시 부산진구 양정동 458-5번지 ,511-3",부산광역시 부산진구 동평로 350 (양정동),387887.847334313,187966.542955161,영업/정상,,부산진구,양정동,양정동 신성각,양정동 신성각 051-8513460
독도활어회센타,횟집,051-8199999,부산광역시 부산진구 가야동 617-51번지,부산광역시 부산진구 냉정로 259 (가야동),384740.326108875,185433.796011068,영업/정상,,부산진구,가야동,가야동 독도활어회센타,가야동 독도활어회센타 051-8199999
진보식당,한식,,부산광역시 부산진구 연지동 219-1,부산광역시 부산진구 성지로33번길 3 (연지동),387098.651528928,187973.971227361,영업/정상,,부산진구,연지동,연지동 진보식당,연지동 진보식당 
지코바양념치킨,기타,051-8979599,부산광역시 부산진구 가야동 50-1 유림아파트,"부산광역시 부산진구 가야대로 613, 111호 (가야동, 유림아파트)",385733.529901161,185961.315340121,영업/정상,,부산진구,가야동,가야동 지코바양념치킨,가야동 지코바양념치킨 051-8979599
올리브,경양식,051-8076796,부산광역시 부산진구 부전동 477-13번지,부산광역시 부산진구 서면문화로5번길 44 (부전동),387210.647838001,186286.465792392,영업/정상,,부산진구,부전동,부전동 올리브,부전동 올리브 051-8076796
안창마을,한식,051-8021199,부산광역시 부산진구 부전동 474-93번지,부산광역시 부산진구 가야대로765번길 34 (부전동),387200.277983913,186396.281728265,영업/정상,,부산진구,부전동,부전동 안창마을,부전동 안창마을 051-8021199
맘스터치(시민공원점),기타,051--8095605,부산광역시 부산진구 부암동 96-11번지 지상1층,"부산광역시 부산진구 새싹로 83-2, 지상1층 (부암동)",387002.633965599,186940.731443961,영업/정상,,부산진구,부암동,부암동 맘스터치(시민공원점),부암동 맘스터치(시민공원점) 051--8095605
토속빈대떡마을,분식,8926002,부산광역시 부산진구 개금동 617-17,부산광역시 부산진구 엄광로 27 (개금동),383928.6238228,185107.621168102,영업/정상,,부산진구,개금동,개금동 토속빈대떡마을,개금동 토속빈대떡마을 8926002
서면낙지,기타,,부산광역시 부산진구 부전동 170-9번지 지상2층,"부산광역시 부산진구 동천로 67-6, 지상2층 (부전동)",387814.859703616,185917.940783244,영업/정상,,부산진구,부전동,부전동 서면낙지,부전동 서면낙지 
석정원,한식,051-8639288,부산광역시 부산진구 양정동 369-3번지,부산광역시 부산진구 동평로420번길 13 (양정동),388526.693840246,187889.488672895,영업/정상,,부산진구,양정동,양정동 석정원,양정동 석정원 051-8639288
오리농원감자탕,한식,051-8631622,부산광역시 부산진구 양정동 391-3번지,부산광역시 부산진구 중앙대로909번길 22 (양정동),388464.575356119,187849.590606488,영업/정상,,부산진구,양정동,양정동 오리농원감자탕,양정동 오리농원감자탕 051-8631622
홍콩반점 0410 양정역점,중국식,051-852-6782,부산광역시 부산진구 양정동 353-38번지,부산광역시 부산진구 중앙대로 902 (양정동),388501.973636085,187687.878563976,영업/정상,,부산진구,양정동,양정동 홍콩반점 0410 양정역점,양정동 홍콩반점 0410 양정역점 051-852-6782
