사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
마당집,한식,051806-8602,부산광역시 부산진구 부전동 512-23,부산광역시 부산진구 부전로 69 (부전동),387138.350631176,186056.530380388,영업/정상,,부산진구,부전동,부전동 마당집,부전동 마당집 051806-8602
시골집,한식,051-8655636,부산광역시 부산진구 양정동 350-15번지,부산광역시 부산진구 양지로5번길 42 (양정동),388593.829099009,187755.238304783,영업/정상,,부산진구,양정동,양정동 시골집,양정동 시골집 051-8655636
딩가딩가,호프/통닭,051-8922906,부산광역시 부산진구 당감동 282-27번지,부산광역시 부산진구 당감로 34 (당감동),385754.134225683,186954.55112775,영업/정상,,부산진구,당감동,당감동 딩가딩가,당감동 딩가딩가 051-8922906
보드게임카페레드버튼,호프/통닭,051-803-1053,부산광역시 부산진구 부전동 172-5 지상4층,"부산광역시 부산진구 중앙대로692번길 31, 지상4층 (부전동)",387723.384275627,185895.38168661,영업/정상,,부산진구,부전동,부전동 보드게임카페레드버튼,부전동 보드게임카페레드버튼 051-803-1053
서울스포츠회관,한식,,부산광역시 부산진구 부전동 267-19번지,"부산광역시 부산진구 중앙대로755번길 10, 5층 (부전동)",387666.12706233,186499.349069279,영업/정상,,부산진구,부전동,부전동 서울스포츠회관,부전동 서울스포츠회관 
신사우물갈비,한식,051-819-7799,부산광역시 부산진구 전포동 683-6,부산광역시 부산진구 전포대로199번길 44 (전포동),387893.306523673,185890.055339902,영업/정상,,부산진구,전포동,전포동 신사우물갈비,전포동 신사우물갈비 051-819-7799
오크피자,한식,051-8912731,"부산광역시 부산진구 개금동 207-15번지 38,50","부산광역시 부산진구 개금온정로17번길 38 (개금동,38,50)",384260.980607753,185819.225770911,영업/정상,,부산진구,개금동,개금동 오크피자,개금동 오크피자 051-8912731
진미짬뽕순두부,한식,051-8911721,부산광역시 부산진구 개금동 177-145,부산광역시 부산진구 가야대로468번길 7 (개금동),384311.419372019,185605.118779226,영업/정상,,부산진구,개금동,개금동 진미짬뽕순두부,개금동 진미짬뽕순두부 051-8911721
국밥참맛있는집 부산시민공원점,한식,051-8189252,부산광역시 부산진구 부암동 32-8 지상1층일부,"부산광역시 부산진구 새싹로 111, 지상1층 (부암동)",386872.565614664,187170.596285772,영업/정상,,부산진구,부암동,부암동 국밥참맛있는집 부산시민공원점,부암동 국밥참맛있는집 부산시민공원점 051-8189252
진주횟집,한식,051-8078465,부산광역시 부산진구 전포동 198-2,"부산광역시 부산진구 동성로 97, 2층 (전포동)",388331.567708251,186387.708024553,영업/정상,,부산진구,전포동,전포동 진주횟집,전포동 진주횟집 051-8078465
산책,한식,051-868-9599,부산광역시 부산진구 양정동 363-11,부산광역시 부산진구 양지로8번길 8 (양정동),388445.036210354,187549.659640178,영업/정상,,부산진구,양정동,양정동 산책,양정동 산책 051-868-9599
MCC COFFEE 서면롯데후문점,기타,,부산광역시 부산진구 부전동 517-9 지상1층,"부산광역시 부산진구 가야대로784번길 37, 지상1층 (부전동)",387405.030913648,185996.782052512,영업/정상,,부산진구,부전동,부전동 MCC COFFEE 서면롯데후문점,부전동 MCC COFFEE 서면롯데후문점 
하노이맥주밤거리 서면중앙점,"외국음식전문점(인도,태국등)",051-8026463,"부산광역시 부산진구 부전동 168-263 ,350 지상1층","부산광역시 부산진구 중앙대로680번가길 56, 지상1층 (부전동)",387716.399853785,186030.423853802,영업/정상,,부산진구,부전동,부전동 하노이맥주밤거리 서면중앙점,부전동 하노이맥주밤거리 서면중앙점 051-8026463
차이나궁,중국식,051-868-0081,부산광역시 부산진구 양정동 350-7번지 (1층),"부산광역시 부산진구 중앙대로910번길 13, 1층 (양정동)",388583.15876435,187729.02821622,영업/정상,,부산진구,양정동,양정동 차이나궁,양정동 차이나궁 051-868-0081
하이트타운,호프/통닭,051-8977363,부산광역시 부산진구 개금동 360-0번지,부산광역시 부산진구 백양대로238번길 10 (개금동),384382.13402104,186140.800581198,영업/정상,,부산진구,개금동,개금동 하이트타운,개금동 하이트타운 051-8977363
진연어,기타,051-809-0755,부산광역시 부산진구 부전동 410-11,부산광역시 부산진구 가야대로755번길 55 (부전동),387084.236155679,186507.683862365,영업/정상,,부산진구,부전동,부전동 진연어,부전동 진연어 051-809-0755
컴포즈커피,한식,,부산광역시 부산진구 부암동 345-45,부산광역시 부산진구 백양순환로 163 (부암동),385947.889539376,187142.019377636,영업/정상,,부산진구,부암동,부암동 컴포즈커피,부암동 컴포즈커피 
마당쇠껍데기와소금구이,식육(숯불구이),051-8174409,부산광역시 부산진구 전포동 631-3번지,부산광역시 부산진구 동성로 141 (전포동),387958.579397408,186587.660437466,영업/정상,,부산진구,전포동,전포동 마당쇠껍데기와소금구이,전포동 마당쇠껍데기와소금구이 051-8174409
동해횟집,횟집,051-8675235,부산광역시 부산진구 양정동 389-3번지,부산광역시 부산진구 중앙대로909번길 33 (양정동),388443.752070479,187907.323482733,영업/정상,,부산진구,양정동,양정동 동해횟집,양정동 동해횟집 051-8675235
새소라분식,분식,051-8022151,부산광역시 부산진구 전포동 366-47번지,부산광역시 부산진구 황령대로 76 (전포동),388340.139129342,185356.030005291,영업/정상,,부산진구,전포동,전포동 새소라분식,전포동 새소라분식 051-8022151
가온밀면,분식,051-8066833,부산광역시 부산진구 초읍동 273-44번지,부산광역시 부산진구 새싹로 249-1 (초읍동),386471.713513114,188494.824244199,영업/정상,,부산진구,초읍동,초읍동 가온밀면,초읍동 가온밀면 051-8066833
한양식당,한식,051-8042210,부산광역시 부산진구 부전동 403-14,부산광역시 부산진구 서면문화로 42 (부전동),387243.187946971,186552.942879145,영업/정상,,부산진구,부전동,부전동 한양식당,부전동 한양식당 051-8042210
