사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
수변최고 롯데점,한식,,부산광역시 부산진구 부전동 503-15 롯데백화점부산본점,"부산광역시 부산진구 가야대로 772, 롯데백화점부산본점 9층 (부전동)",387271.299492377,186099.137533193,영업/정상,,부산진구,부전동,부전동 수변최고 롯데점,부전동 수변최고 롯데점 
메가후르츠 부산초읍점,기타,,부산광역시 부산진구 초읍동 178-21,"부산광역시 부산진구 성지로122번길 4, 1층 (초읍동)",386772.097001778,188756.022837291,영업/정상,,부산진구,초읍동,초읍동 메가후르츠 부산초읍점,초읍동 메가후르츠 부산초읍점 
그놈포차 개금점,한식,,부산광역시 부산진구 개금동 177-280,"부산광역시 부산진구 복지로13번길 29, 3층 (개금동)",384187.894292727,185529.377048902,영업/정상,,부산진구,개금동,개금동 그놈포차 개금점,개금동 그놈포차 개금점 
치킨신드롬 송상현광장점,호프/통닭,,부산광역시 부산진구 전포동 143-3 B101호,"부산광역시 부산진구 중앙대로 842, B101호 (전포동)",388204.072804991,187172.025793283,영업/정상,,부산진구,전포동,전포동 치킨신드롬 송상현광장점,전포동 치킨신드롬 송상현광장점 
희마쯔,한식,,부산광역시 부산진구 부전동 515-1,"부산광역시 부산진구 부전로66번길 12, 1층 102호 (부전동)",387215.372321888,186001.54583588,영업/정상,,부산진구,부전동,부전동 희마쯔,부전동 희마쯔 
모테키 전포,일식,051-995-9400,부산광역시 부산진구 전포동 307-18,부산광역시 부산진구 전포대로216번길 21-1 (전포동),388247.192192726,186040.20868429,영업/정상,,부산진구,전포동,전포동 모테키 전포,전포동 모테키 전포 051-995-9400
(주)케이엠컴(해브어보틀데이),기타,,부산광역시 부산진구 부전동 534-2,"부산광역시 부산진구 서면로 10, 1층 104,105호 (부전동)",387482.739380339,185523.630647005,영업/정상,,부산진구,부전동,부전동 (주)케이엠컴(해브어보틀데이),부전동 (주)케이엠컴(해브어보틀데이) 
소통,일식,,부산광역시 부산진구 전포동 202-3 서전빌라 비101호,"부산광역시 부산진구 서전로57번길 8, 지하1층 비101호 (전포동, 서전빌라)",388201.048781855,186284.067542794,영업/정상,,부산진구,전포동,전포동 소통,전포동 소통 
꽃분이네,한식,,부산광역시 부산진구 양정동 364-2,"부산광역시 부산진구 양지로 12, 1층 (양정동)",388479.958385359,187526.879842367,영업/정상,,부산진구,양정동,양정동 꽃분이네,양정동 꽃분이네 
퓨전경성포차,기타,,부산광역시 부산진구 부전동 515-11,"부산광역시 부산진구 중앙대로691번가길 5, 지하1층 (부전동)",387261.956732821,185871.693585718,영업/정상,,부산진구,부전동,부전동 퓨전경성포차,부전동 퓨전경성포차 
육회한판,식육(숯불구이),,부산광역시 부산진구 당감동 515-6 당감동원빌라,"부산광역시 부산진구 동평로 2, 101동 107호 (당감동, 당감동원빌라)",384970.715832,186772.837506466,영업/정상,,부산진구,당감동,당감동 육회한판,당감동 육회한판 
양화륵,한식,,부산광역시 부산진구 전포동 207-28,"부산광역시 부산진구 전포대로 226-8, 1층 (전포동)",388164.89346801,186143.123002466,영업/정상,,부산진구,전포동,전포동 양화륵,전포동 양화륵 
불향가득,한식,,부산광역시 부산진구 부전동 475-3,"부산광역시 부산진구 서면문화로 11, 1층 (부전동)",387390.736657999,186309.511195967,영업/정상,,부산진구,부전동,부전동 불향가득,부전동 불향가득 
서면 656,기타,,부산광역시 부산진구 부전동 502-16,"부산광역시 부산진구 서면로 65-6, 1층 (부전동)",387406.333661839,186087.156829706,영업/정상,,부산진구,부전동,부전동 서면 656,부전동 서면 656 
푸드공방,기타,,부산광역시 부산진구 가야동 361-67,"부산광역시 부산진구 엄광로 258-1, 1층 (가야동)",385706.023587709,185718.091360848,영업/정상,,부산진구,가야동,가야동 푸드공방,가야동 푸드공방 
오징어나라,일식,051-805-2110,부산광역시 부산진구 부암동 708-12,"부산광역시 부산진구 가야대로 733-1, 1층 (부암동)",386886.972959821,186225.197308869,영업/정상,,부산진구,부암동,부암동 오징어나라,부암동 오징어나라 051-805-2110
왕뽈떼기철판떼기,한식,052-2549511,부산광역시 부산진구 부전동 477-20,"부산광역시 부산진구 부전로96번길 34-4, 3층 (부전동)",387306.053681279,186310.256787247,영업/정상,,부산진구,부전동,부전동 왕뽈떼기철판떼기,부전동 왕뽈떼기철판떼기 052-2549511
666버거 개금점,기타,,부산광역시 부산진구 개금동 526-45,"부산광역시 부산진구 복지로8번길 49, 1층 (개금동)",383944.690022586,185350.499384172,영업/정상,,부산진구,개금동,개금동 666버거 개금점,개금동 666버거 개금점 
동래식당,한식,,부산광역시 부산진구 부전동 256-6,"부산광역시 부산진구 서면로 56, 1층 차3호,차18호 (부전동)",387468.48013598,185990.346086723,영업/정상,,부산진구,부전동,부전동 동래식당,부전동 동래식당 
바른고기 엘베요타 서면직영점,식육(숯불구이),,부산광역시 부산진구 부전동 474-1,"부산광역시 부산진구 서면문화로 33, 2층 (부전동)",387224.040877354,186469.98511629,영업/정상,,부산진구,부전동,부전동 바른고기 엘베요타 서면직영점,부전동 바른고기 엘베요타 서면직영점 
김치찜은못참지,한식,,부산광역시 부산진구 범천동 858-23 한라시그마타워,"부산광역시 부산진구 황령대로 13, 1층 105호 (범천동, 한라시그마타워)",387735.741929162,185175.263274274,영업/정상,,부산진구,범천동,범천동 김치찜은못참지,범천동 김치찜은못참지 
메타381,한식,,부산광역시 부산진구 전포동 309-30,"부산광역시 부산진구 서전로58번길 38-1, 지하1층 (전포동)",388175.08914525,186063.950051963,영업/정상,,부산진구,전포동,전포동 메타381,전포동 메타381 
우아당,기타,,부산광역시 부산진구 부암동 724번지 백양상가,"부산광역시 부산진구 백양산로 55, 백양상가 지하1층 b11호 (부암동)",384934.150182719,187957.275515304,영업/정상,,부산진구,부암동,부암동 우아당,부암동 우아당 
취화방,경양식,,부산광역시 부산진구 전포동 664-9,"부산광역시 부산진구 서전로37번길 20, 2층 203,204호 (전포동)",388014.238479195,186349.005777784,영업/정상,,부산진구,전포동,전포동 취화방,전포동 취화방 
선,경양식,051-8173999,부산광역시 부산진구 전포동 201-5,"부산광역시 부산진구 전포대로246번길 22, 1층 (전포동)",388251.10431228,186324.24631106,영업/정상,,부산진구,전포동,전포동 선,전포동 선 051-8173999
