사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
밀양식당,한식,,부산광역시 부산진구 가야동 382-15번지 1층,"부산광역시 부산진구 대학로 11-14, 1층 (가야동)",385646.50726277,185769.278449174,영업/정상,,부산진구,가야동,가야동 밀양식당,가야동 밀양식당 
은파식당,한식,051-897-6999,부산광역시 부산진구 당감동 262-60번지,부산광역시 부산진구 당감로16번길 24 (당감동),385883.598462035,186808.689794127,영업/정상,,부산진구,당감동,당감동 은파식당,당감동 은파식당 051-897-6999
두루미,중국식,051-8174974,부산광역시 부산진구 전포동 657-31 (1층),"부산광역시 부산진구 동천로132번길 20, 1층 (전포동)",387920.075366733,186539.675217203,영업/정상,,부산진구,전포동,전포동 두루미,전포동 두루미 051-8174974
무쇠김치삼겹 서면본점,한식,051-8170023,부산광역시 부산진구 부전동 187-1,부산광역시 부산진구 중앙대로680번가길 33 (부전동),387702.922978854,185910.121636174,영업/정상,,부산진구,부전동,부전동 무쇠김치삼겹 서면본점,부전동 무쇠김치삼겹 서면본점 051-8170023
진주,중국식,051-8944060,부산광역시 부산진구 개금동 629-1번지,부산광역시 부산진구 진사로61번길 29 (개금동),383936.541812435,184898.870216422,영업/정상,,부산진구,개금동,개금동 진주,개금동 진주 051-8944060
한경자굴국밥 조방앞점,한식,051-6434142,부산광역시 부산진구 범천동 839-411,부산광역시 부산진구 자유평화로 23 (범천동),387890.04298527,184437.113881768,영업/정상,,부산진구,범천동,범천동 한경자굴국밥 조방앞점,범천동 한경자굴국밥 조방앞점 051-6434142
용궁해물탕,한식,051-808-4711,부산광역시 부산진구 부전동 475-17번지,부산광역시 부산진구 서면문화로5번길 10 (부전동),387374.407940961,186296.799526678,영업/정상,,부산진구,부전동,부전동 용궁해물탕,부전동 용궁해물탕 051-808-4711
유명한손칼국수,한식,051-8649321,부산광역시 부산진구 양정동 320-20번지,"부산광역시 부산진구 동평로405번길 7, 1층 (양정동)",388459.252979793,188079.15123152,영업/정상,,부산진구,양정동,양정동 유명한손칼국수,양정동 유명한손칼국수 051-8649321
사성각,중국식,051-8071288,부산광역시 부산진구 부전동 113-7번지,부산광역시 부산진구 동천로107번길 18 (부전동),387747.6184556,186297.833062487,영업/정상,,부산진구,부전동,부전동 사성각,부전동 사성각 051-8071288
착한동태아구찜,한식,051-818-4005,부산광역시 부산진구 부전동 477-20 (1층),"부산광역시 부산진구 부전로96번길 34-4 (부전동,(1층))",387306.053681279,186310.256787247,영업/정상,,부산진구,부전동,부전동 착한동태아구찜,부전동 착한동태아구찜 051-818-4005
고반식당서면점,한식,051-8030078,부산광역시 부산진구 부전동 516-15번지,부산광역시 부산진구 가야대로784번길 46-10 (부전동),387335.858810094,185971.072931183,영업/정상,,부산진구,부전동,부전동 고반식당서면점,부전동 고반식당서면점 051-8030078
소문난집,한식,051-6334717,"부산광역시 부산진구 범천동 873-37번지 ,38(1층)","부산광역시 부산진구 신천대로65번길 69 (범천동,,38(1층))",387488.667226075,185052.887153704,영업/정상,,부산진구,범천동,범천동 소문난집,범천동 소문난집 051-6334717
깜짝식당,한식,,부산광역시 부산진구 부전동 149-8,부산광역시 부산진구 서전로 20-4 (부전동),387802.430832342,186201.230039374,영업/정상,,부산진구,부전동,부전동 깜짝식당,부전동 깜짝식당 
동평반점,중국식,051-8937134,부산광역시 부산진구 당감동 764-2,부산광역시 부산진구 당감서로 103 (당감동),385343.763336074,187374.826996233,영업/정상,,부산진구,당감동,당감동 동평반점,당감동 동평반점 051-8937134
부광횟집,횟집,051-8096039,"부산광역시 부산진구 부전동 398-4 (1,2층)","부산광역시 부산진구 서면문화로 24-1, 1,2층 (부전동)",387313.331872261,186426.339474555,영업/정상,,부산진구,부전동,부전동 부광횟집,부전동 부광횟집 051-8096039
희자통닭,호프/통닭,051-893-8053,부산광역시 부산진구 당감동 304-3번지,부산광역시 부산진구 당감로50번길 21 (당감동),385813.665647499,187145.528983663,영업/정상,,부산진구,당감동,당감동 희자통닭,당감동 희자통닭 051-893-8053
365 후루룩 촌국수,한식,051-8070353,부산광역시 부산진구 부전동 396-12번지,부산광역시 부산진구 새싹로14번길 5 (부전동),387459.78901943,186403.881644052,영업/정상,,부산진구,부전동,부전동 365 후루룩 촌국수,부전동 365 후루룩 촌국수 051-8070353
울산목살구이집,한식,051-8068689,부산광역시 부산진구 부전동 264-8번지,부산광역시 부산진구 부전로152번길 51-1 (부전동),387487.427349408,186472.793795537,영업/정상,,부산진구,부전동,부전동 울산목살구이집,부전동 울산목살구이집 051-8068689
순두부&청국장,한식,051-897-7500,부산광역시 부산진구 당감동 305-20번지,부산광역시 부산진구 당감로50번길 12 (당감동),385760.840984558,187119.259212174,영업/정상,,부산진구,당감동,당감동 순두부&청국장,당감동 순두부&청국장 051-897-7500
국시랑술이랑,중국식,,부산광역시 부산진구 개금동 169-16,부산광역시 부산진구 냉정로231번길 12 (개금동),384493.701434831,185470.679492193,영업/정상,,부산진구,개금동,개금동 국시랑술이랑,개금동 국시랑술이랑 
가야수구레국밥,한식,051-8081542,부산광역시 부산진구 부전동 260-15,부산광역시 부산진구 새싹로8번길 16 (부전동),387556.804352609,186371.434466367,영업/정상,,부산진구,부전동,부전동 가야수구레국밥,부전동 가야수구레국밥 051-8081542
세븐참치,한식,051-8063737,부산광역시 부산진구 부전동 404-27 지상1층,"부산광역시 부산진구 서면문화로 46, 지상1층 (부전동)",387230.001666527,186611.203498591,영업/정상,,부산진구,부전동,부전동 세븐참치,부전동 세븐참치 051-8063737
