사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
베이비치크,경양식,,부산광역시 부산진구 전포동 309-4,"부산광역시 부산진구 서전로58번길 40, 1층 (전포동)",388180.229380377,186050.052147649,영업/정상,,부산진구,전포동,전포동 베이비치크,전포동 베이비치크 
제이에스푸드,한식,,부산광역시 부산진구 전포동 554-1,"부산광역시 부산진구 전포대로300번길 23, 1층 (전포동)",388178.013426906,187030.42735124,영업/정상,,부산진구,전포동,전포동 제이에스푸드,전포동 제이에스푸드 
론도테이블,경양식,,부산광역시 부산진구 양정동 273-49,"부산광역시 부산진구 동평로405번길 40, 2층 (양정동)",388562.682439869,188197.878282652,영업/정상,,부산진구,양정동,양정동 론도테이블,양정동 론도테이블 
고향이그리워,한식,,부산광역시 부산진구 부전동 256-6,"부산광역시 부산진구 서면로 56, 1층 타6호, 타15호, 타27호 (부전동)",387468.48013598,185990.346086723,영업/정상,,부산진구,부전동,부전동 고향이그리워,부전동 고향이그리워 
김복남맥주 서면아이파크점,호프/통닭,051-907-1717,부산광역시 부산진구 전포동 908 서면아이파크아파트,"부산광역시 부산진구 동성로 50, 상가1동 8호 (전포동, 서면아이파크아파트)",388546.11676027,186038.10613501,영업/정상,,부산진구,전포동,전포동 김복남맥주 서면아이파크점,전포동 김복남맥주 서면아이파크점 051-907-1717
하업트(HAUPT),기타,,부산광역시 부산진구 전포동 206-28,"부산광역시 부산진구 서전로58번길 5, 1,2층 (전포동)",388199.939791223,186215.278199889,영업/정상,,부산진구,전포동,전포동 하업트(HAUPT),전포동 하업트(HAUPT) 
야타이 수,기타,,부산광역시 부산진구 부전동 168-8,"부산광역시 부산진구 동천로95번길 25, 1층 (부전동)",387714.228946438,186160.980899509,영업/정상,,부산진구,부전동,부전동 야타이 수,부전동 야타이 수 
위대한밥상,한식,,부산광역시 부산진구 개금동 165-1,"부산광역시 부산진구 가야대로498번길 12, 1층 (개금동)",384580.347019048,185587.828897953,영업/정상,,부산진구,개금동,개금동 위대한밥상,개금동 위대한밥상 
금돼지식당,식육(숯불구이),,부산광역시 부산진구 개금동 424-9 우진아파트,"부산광역시 부산진구 개금본동로9번길 77, 1층 3호 (개금동, 우진아파트)",384204.927285541,185959.276422086,영업/정상,,부산진구,개금동,개금동 금돼지식당,개금동 금돼지식당 
준,기타,,부산광역시 부산진구 부전동 466-18,"부산광역시 부산진구 부전로 89-1, 1층 (부전동)",387126.151090875,186254.433063117,영업/정상,,부산진구,부전동,부전동 준,부전동 준 
제이든,기타,,부산광역시 부산진구 부전동 172-5,"부산광역시 부산진구 중앙대로692번길 31, 7층 (부전동)",387723.384275627,185895.38168661,영업/정상,,부산진구,부전동,부전동 제이든,부전동 제이든 
베리풀,기타,,부산광역시 부산진구 전포동 635-9,"부산광역시 부산진구 서전로47번길 55, 1층 (전포동)",388051.136166956,186533.114726391,영업/정상,,부산진구,전포동,전포동 베리풀,전포동 베리풀 
칠링(Chilling),경양식,,부산광역시 부산진구 부전동 224-41,"부산광역시 부산진구 중앙대로680번길 50-1, 2층 (부전동)",387818.602713538,185742.888671246,영업/정상,,부산진구,부전동,부전동 칠링(Chilling),부전동 칠링(Chilling) 
주앙,기타,,부산광역시 부산진구 전포동 346-30,"부산광역시 부산진구 전포대로186번길 6-5, 1층 (전포동)",388186.983514868,185693.621798416,영업/정상,,부산진구,전포동,전포동 주앙,전포동 주앙 
올드라벨,한식,,부산광역시 부산진구 전포동 357-58,"부산광역시 부산진구 동성로 23-2, 2층 (전포동)",388397.263853603,185670.001723175,영업/정상,,부산진구,전포동,전포동 올드라벨,전포동 올드라벨 
윤쓰식당,한식,,부산광역시 부산진구 부전동 256-5,"부산광역시 부산진구 서면로68번길 20, 2층 (부전동)",387477.675529825,186047.516310664,영업/정상,,부산진구,부전동,부전동 윤쓰식당,부전동 윤쓰식당 
짱,"외국음식전문점(인도,태국등)",,부산광역시 부산진구 범천동 839-37,"부산광역시 부산진구 자유평화로3번길 14-11, 1층 101호 (범천동)",387784.893835331,184508.35555351,영업/정상,,부산진구,범천동,범천동 짱,범천동 짱 
코즈키,한식,,부산광역시 부산진구 전포동 308-13,"부산광역시 부산진구 전포대로210번길 13, 1층 (전포동)",388212.359980285,185990.144622786,영업/정상,,부산진구,전포동,전포동 코즈키,전포동 코즈키 
우미오모루,일식,,부산광역시 부산진구 부전동 149-10,"부산광역시 부산진구 동천로 97-4, 2층 (부전동)",387817.529765044,186201.673541598,영업/정상,,부산진구,부전동,부전동 우미오모루,부전동 우미오모루 
구백구십(990)한줄애김밥 범일점,기타,,부산광역시 부산진구 범천동 882-6,"부산광역시 부산진구 범일로131번길 80, 1층 (범천동)",387550.273336953,184790.438416264,영업/정상,,부산진구,범천동,범천동 구백구십(990)한줄애김밥 범일점,범천동 구백구십(990)한줄애김밥 범일점 
개금 골목포차,기타,,부산광역시 부산진구 가야동 657-12,"부산광역시 부산진구 가야공원로38번길 87, 1층 가호 (가야동)",384469.061167066,185308.069634882,영업/정상,,부산진구,가야동,가야동 개금 골목포차,가야동 개금 골목포차 
고상,한식,,부산광역시 부산진구 전포동 288-2,"부산광역시 부산진구 동성로61번길 26, 1층 (전포동)",388359.121465386,186060.720392524,영업/정상,,부산진구,전포동,전포동 고상,전포동 고상 
치킨에 진심인 사람들,한식,,부산광역시 부산진구 전포동 189-17,"부산광역시 부산진구 동성로 108, 동성의원 1층 (전포동)",388291.82380296,186473.136607979,영업/정상,,부산진구,전포동,전포동 치킨에 진심인 사람들,전포동 치킨에 진심인 사람들 
소소리,일식,,부산광역시 부산진구 전포동 189-89,"부산광역시 부산진구 동성로 98, 1층 (전포동)",388349.499265154,186415.068433774,영업/정상,,부산진구,전포동,전포동 소소리,전포동 소소리 
오로르,한식,,부산광역시 부산진구 부전동 410-5 부영아파트,"부산광역시 부산진구 가야대로755번길 55-4, 1층 101호 (부전동, 부영아파트)",387075.410740487,186512.466554051,영업/정상,,부산진구,부전동,부전동 오로르,부전동 오로르 
미네,경양식,,부산광역시 부산진구 전포동 287-1,"부산광역시 부산진구 동성로 61-1, 1층 (전포동)",388376.885435301,186057.19011453,영업/정상,,부산진구,전포동,전포동 미네,전포동 미네 
